time	V(v_out)	I(I1)
0.000000000000000e+00	5.005057e+00	1.000000e+00
5.052999999951461e-05	5.005057e+00	1.000000e+00
1.017299999995159e-04	5.005057e+00	1.000000e+00
1.529299999995171e-04	5.005057e+00	1.000000e+00
2.000000000000000e-04	5.005057e+00	1.000000e+00
2.000350000000000e-04	5.005080e+00	9.993700e-01
2.000750000000000e-04	5.005106e+00	9.986500e-01
2.001250000000000e-04	5.005139e+00	9.977500e-01
2.001750000000000e-04	5.005174e+00	9.968500e-01
2.002250000000000e-04	5.005209e+00	9.959500e-01
2.002750000000000e-04	5.005245e+00	9.950500e-01
2.003250000000000e-04	5.005281e+00	9.941500e-01
2.003750000000000e-04	5.005319e+00	9.932500e-01
2.004250000000000e-04	5.005357e+00	9.923500e-01
2.004750000000000e-04	5.005396e+00	9.914500e-01
2.005250000000000e-04	5.005435e+00	9.905500e-01
2.005750000000000e-04	5.005475e+00	9.896500e-01
2.006250000000000e-04	5.005515e+00	9.887500e-01
2.006750000000000e-04	5.005555e+00	9.878500e-01
2.007750000000000e-04	5.005637e+00	9.860500e-01
2.008750000000000e-04	5.005720e+00	9.842500e-01
2.009750000000000e-04	5.005804e+00	9.824500e-01
2.010750000000000e-04	5.005888e+00	9.806500e-01
2.011750000000000e-04	5.005972e+00	9.788500e-01
2.012750000000000e-04	5.006057e+00	9.770500e-01
2.013750000000000e-04	5.006141e+00	9.752500e-01
2.015250000000000e-04	5.006266e+00	9.725500e-01
2.016750000000000e-04	5.006390e+00	9.698500e-01
2.018250000000000e-04	5.006513e+00	9.671500e-01
2.019750000000000e-04	5.006633e+00	9.644500e-01
2.020607142857143e-04	5.006701e+00	9.629071e-01
2.021464285714286e-04	5.006769e+00	9.613643e-01
2.022321428571429e-04	5.006836e+00	9.598214e-01
2.023178571428572e-04	5.006903e+00	9.582786e-01
2.024035714285715e-04	5.006969e+00	9.567357e-01
2.024892857142858e-04	5.007034e+00	9.551929e-01
2.025750000000001e-04	5.007099e+00	9.536500e-01
2.026750000000001e-04	5.007174e+00	9.518500e-01
2.027750000000001e-04	5.007249e+00	9.500500e-01
2.028750000000001e-04	5.007323e+00	9.482500e-01
2.029750000000001e-04	5.007397e+00	9.464500e-01
2.030750000000001e-04	5.007471e+00	9.446500e-01
2.031750000000001e-04	5.007544e+00	9.428500e-01
2.032750000000001e-04	5.007617e+00	9.410500e-01
2.033750000000001e-04	5.007690e+00	9.392500e-01
2.034750000000001e-04	5.007763e+00	9.374500e-01
2.035250000000001e-04	5.007800e+00	9.365500e-01
2.035750000000001e-04	5.007836e+00	9.356500e-01
2.036250000000001e-04	5.007873e+00	9.347500e-01
2.036750000000001e-04	5.007909e+00	9.338500e-01
2.037250000000001e-04	5.007945e+00	9.329500e-01
2.037750000000001e-04	5.007981e+00	9.320500e-01
2.038250000000001e-04	5.008018e+00	9.311500e-01
2.038750000000001e-04	5.008054e+00	9.302500e-01
2.039250000000001e-04	5.008090e+00	9.293500e-01
2.039750000000001e-04	5.008127e+00	9.284500e-01
2.040250000000001e-04	5.008163e+00	9.275500e-01
2.040750000000001e-04	5.008200e+00	9.266500e-01
2.041250000000001e-04	5.008236e+00	9.257500e-01
2.041750000000001e-04	5.008273e+00	9.248500e-01
2.042250000000001e-04	5.008309e+00	9.239500e-01
2.042750000000001e-04	5.008346e+00	9.230500e-01
2.043750000000001e-04	5.008419e+00	9.212500e-01
2.044750000000001e-04	5.008492e+00	9.194500e-01
2.045750000000001e-04	5.008565e+00	9.176500e-01
2.046750000000001e-04	5.008638e+00	9.158500e-01
2.048250000000001e-04	5.008748e+00	9.131500e-01
2.049035714285715e-04	5.008806e+00	9.117357e-01
2.049821428571430e-04	5.008863e+00	9.103215e-01
2.050607142857144e-04	5.008921e+00	9.089072e-01
2.051392857142858e-04	5.008978e+00	9.074929e-01
2.052178571428573e-04	5.009035e+00	9.060786e-01
2.052964285714287e-04	5.009093e+00	9.046643e-01
